Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2009-06-09 00:00:00-04:00,24522.56719947318,25304.055604731115,24010.557554649014,24616.884765625,1790,0.0,0.0,0.0
2009-06-10 00:00:00-04:00,23646.761649777538,25142.368796857485,23256.017440180072,24037.505859375,3025,0.0,0.0,0.0
2009-06-11 00:00:00-04:00,23956.658851853907,24050.976406388763,21639.141797568827,22757.478515625,4520,0.0,0.0,0.0
2009-06-12 00:00:00-04:00,23471.595288482455,24091.396312173725,23202.11658252973,23229.064453125,3862,0.0,0.0,0.0
2009-06-15 00:00:00-04:00,24333.933623455323,25721.749328447513,24266.563929038224,24805.521484375,1864,0.0,0.0,0.0
2009-06-16 00:00:00-04:00,24253.087485708842,26570.60473434324,24064.452360819992,26516.708984375,2495,0.0,0.0,0.0
2009-06-17 00:00:00-04:00,27082.613564614778,28578.220582362163,26651.447577516432,27675.466796875,4126,0.0,0.0,0.0
2009-06-18 00:00:00-04:00,27756.316733337346,28335.696160295356,26786.193041686718,27998.84765625,2305,0.0,0.0,0.0
2009-06-19 00:00:00-04:00,26853.55978773585,29238.446933962263,26840.085849056602,28564.75,2292,0.0,0.0,0.0
2009-06-22 00:00:00-04:00,29966.03624176616,32768.6151708522,29912.14049312989,32728.193359375,3869,0.0,0.0,0.0
2009-06-23 00:00:00-04:00,32243.13403391848,33428.84059262505,31246.06260955159,32189.23828125,3260,0.0,0.0,0.0
2009-06-24 00:00:00-04:00,31434.69473984738,32323.97457389364,30127.722862536964,31892.80859375,2352,0.0,0.0,0.0
2009-06-25 00:00:00-04:00,32162.288660749604,32270.080160241017,29480.97511090077,29804.349609375,3218,0.0,0.0,0.0
2009-06-26 00:00:00-04:00,30289.412537185985,30841.843993602633,29858.24652242177,30572.365234375,2143,0.0,0.0,0.0
2009-06-29 00:00:00-04:00,29817.82743597841,30087.306219855305,28699.490482889298,29332.765625,1833,0.0,0.0,0.0
